year,per_capita_income
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
2020,41288.69409442
